date_extraction,source,id_annonce,titre,employeur,ville,departement,contrat,teletravail,salaire_min,salaire_max,salaire_unite,date_publication,url,statut
2026-09-14,indeed,JOBSEARCH_1,Responsable Système d'Information H/F,LANGLOIS SOBRETI,Rennes,35,CDI,partiel,50000,60000,annee,2026-08-17,https://to.indeed.com/aa7xv4q8h26p,OK
2026-09-14,indeed,JOBSEARCH_2,Planificateur.rice Projet Usine - H/F,Arabelle Solutions,Chalon-sur-Saône,71,NA,NA,NA,NA,NA,2026-07-31,https://to.indeed.com/aa8wbv66hppp,OK
2026-09-14,indeed,JOBSEARCH_3,NWPB Data and Business Intelligence Lead (F/H),Nestlé,Issy-les-Moulineaux,92,CDI,NA,NA,NA,NA,2026-08-21,https://to.indeed.com/aak4r6ypqn6j,OK
2026-09-14,indeed,JOBSEARCH_4,ANALYSTE FONCTIONNEL / BUSINESS ANALYST ODOO H/F,GROUPE ROY ÉNERGIE,Toury,28,CDI,aucun,38000,38000,annee,2026-08-12,https://to.indeed.com/aanyhjq4xtzd,OK
2026-09-14,indeed,JOBSEARCH_5,Contrôleur de Gestion Industriel & Projet SI (H/F),Lactalis,Laval,53,CDI,NA,NA,NA,NA,2026-07-08,https://to.indeed.com/aapl78p7q9gz,OK
2026-09-14,indeed,JOBSEARCH_6,"Business Analyst IT - Développement Régional - Lille",Sopra Steria,Villeneuve-d'Ascq,59,NA,partiel,NA,NA,NA,2026-03-05,https://to.indeed.com/aa4g4hxmxy2k,OK
2026-09-14,indeed,JOBSEARCH_7,Developer Business central IT H/F,FOODEX,Paris 16e,75,CDI,partiel,NA,NA,NA,2026-09-11,https://to.indeed.com/aaf8jnqtxxqs,OK
2026-09-14,indeed,JOBSEARCH_8,Lead AI (F/H),Studi,Montpellier,34,CDI,NA,NA,NA,NA,2026-07-22,https://to.indeed.com/aaghdlrg744p,OK
2026-09-14,indeed,JOBSEARCH_9,Sales Specialist Dynamics 365 Business Central F/H,Dimood Group,Rennes,35,CDI,partiel,NA,NA,NA,2026-08-05,https://to.indeed.com/aa6wytpwshk4,OK
2026-09-14,indeed,JOBSEARCH_10,Responsable projets innovation F/H/X,Socomec Group,Benfeld,67,CDI,NA,NA,NA,NA,2026-08-24,https://to.indeed.com/aajbbxlmmptg,OK
